,0
0,Nick Cannon is getting some rest after coming down with pneumonia https://t.co/wehVAtA5Z9
1,"Team USA eliminated from the World Cup after a 3-1 loss to the Netherlands in first match of knockout round
https://t.co/hR6SBnPTr5"
2,"A man has been arrested and charged with murder in connection to the killing of Migos rapper Takeoff, the Houston Police Department announced Friday. https://t.co/p3NaYyrLSl"
3,"Right-wing conspiracy theorist Alex Jones filed for personal Chapter 11 bankruptcy protection in a Texas court on Friday, according to court documents. https://t.co/dVjQw2LLCU"
4,"America added a robust 263,000 jobs last month, defying expectations and the Fed's efforts to cool the economy. https://t.co/wBdPoeXoUE"
5,"An appeals court has halted the special master review of documents seized from Mar-a-Lago, in a major defeat for former President Trump https://t.co/zV0AJkGkyc"
6,"Spain boosts security as prime minister targeted in a series of letter bombs, including one that exploded at Madrid's Ukrainian embassy on Wednesday https://t.co/9c864FEzsg"
7,"The House Ways and Means Committee now has six years of Donald Trump’s federal tax returns after the Supreme Court declined to intervene last week
https://t.co/wkaUbmiQew"
8,"Christine McVie, the singer-songwriter behind some of Fleetwood Mac's biggest hits, has died following a brief illness. She was 79.
https://t.co/SzXC6gVIJD https://t.co/PIIUwgOl88"
9,"House Democrats pick Hakeem Jeffries of New York to succeed Nancy Pelosi as leader of the Democrats in the chamber next year, a historic move that will make him the first Black person to lead one of the two major parties in either chamber of Congress. https://t.co/NdvSYNCmtI"
10,"An explosion occurred at Ukraine's embassy in Madrid, injuring at least one person, the Spanish Interior Ministry said https://t.co/qdkxCKZLzE"
11,"Jiang Zemin, former Chinese leader who presided over a period of unprecedented economic growth, has died at 96, state media confirms https://t.co/ArMQg1WoQP"
12,"Former Trump adviser Stephen Miller testifies before federal grand jury as part of the January 6 investigation, a source says
https://t.co/OdEj4z0OPf"
13,The Senate passes a landmark bipartisan bill to protect same-sex and interracial marriage. The measure now goes to the House. https://t.co/9V0OwgfWVx
14,Two Oath Keepers leaders found guilty of seditious conspiracy for their roles in the US Capitol attack https://t.co/aqjH7UygRe
15,Jurors have reached a verdict in the trial of 5 alleged Oath Keepers leaders charged with seditious conspiracy and other counts. Follow live updates. https://t.co/5C4vgIvQJS
16,The United States defeats Iran 1-0 to advance to the knockout stage of the World Cup https://t.co/SKGMc7Vrsw https://t.co/Wo9KeTOiW8
17,"The White man accused of killing 10 people and injuring more than a dozen at a grocery store in a predominantly Black neighborhood in Buffalo pleaded guilty Monday to state charges of murder, domestic terrorism, and attempted murder as a hate crime. https://t.co/otTpKXdv9F"
18,The US government gives Chevron limited authorization to resume pumping oil from Venezuela after reaching a humanitarian agreement https://t.co/LPKShH7jRG
19,"Oscar winner Irene Cara, best known for singing “Fame” and “Flashdance” theme songs, dies at age 63, her publicist says https://t.co/QaY4RU7szb"
20,"The US and England finish in 0-0 draw, in just their third match in World Cup history. https://t.co/1cbN3PAOQJ"
21,"An arrest warrant has been issued for a friend of a North Carolina woman who was found dead last month while on vacation in Cabo San Lucas, Mexico https://t.co/1t8xLhhOeQ"
22,E. Jean Carroll sues Trump for battery and defamation under new New York law that allows adults alleging sexual assault to bring claims years later https://t.co/9hWojRksrX
23,"The Justice Department is seeking former Vice President Mike Pence’s testimony in the criminal investigation into efforts by former President Donald Trump and allies to impede the transfer of power after the 2020 election, sources say https://t.co/oGAUmlzlkO"
24,"Georgia Supreme Court reinstates six-week abortion ban in the state, putting a ruling by a lower court that overturned the ban on hold https://t.co/GQNm0LZsYs"
25,"Georgia's Supreme Court allows early voting on the Saturday after Thanksgiving, rejecting an emergency request from Republicans to block it https://t.co/hF1Bbk94ko"
26,"First-time weekly claims for unemployment benefits have jumped to 240,000 https://t.co/2lvNjawD8L"
27,The Chesapeake police chief provided a timeline of events at the Walmart shooting that killed at least six -- saying investigators have confirmed the suspect was an employee Follow live updates here. https://t.co/NmDQIvs8fI
28,"Two explosions shook Jerusalem early Wednesday, killing at least one person and injuring more than a dozen, Israeli police said https://t.co/ur2i3mDk9D"
29,"Multiple people are dead and injured after a person opened fire in a Walmart in Chesapeake, Virginia, police say. The shooter is believed to be dead. https://t.co/nv6SExQ9DB"
30,"Biden administration will again extend the moratorium on student loan payments, a source says. It comes as Biden's debt relief program is tied up in courts. https://t.co/3iqhRMG3Mb"
31,"Three sheriff's office employees have been arrested in the beating of Jarrett Hobbs, a 41-year-old Black man, at a Georgia detention center
https://t.co/cRuZhD8QR7"
32,"The Supreme Court clears the way for the release of former President Trump's tax returns to a Democratic-led House committee
https://t.co/QpFVbdjzF0"
33,"Soccer star Cristiano Ronaldo is leaving Manchester United effective immediately, the club says, just days after he gave an explosive TV interview
https://t.co/nb0lkWueaY"
34,"DA identifies man who drove SUV through Apple store, killing one and injuring 20, says he's been charged with ""reckless homicide by motor vehicle""
https://t.co/26qp6kFPDA"
35,"DA identifies man who drove SUV through Apple store, killing one and injuring 20, says he's been charged with ""reckless homicide by motor vehicle""
https://t.co/3IL9h2EqtS"
36,"Indonesia earthquake death toll rises to 268 with 151 missing and more than 1,000 injured, authorities say
https://t.co/lN2CjqQ93K"
37,"One person was killed and at least 16 were injured when an SUV crashed into an Apple store in Massachusetts, an official says https://t.co/9iLDJjZYjU"
38,The Supreme Court dismissed a challenge to Texas state legislative maps that critics say intentionally dilute minority voting power and result in an illegal racial gerrymander https://t.co/0boKN3n8MO
39,"America's largest railroad union rejects a tentative labor deal, another setback for efforts to avoid a crippling nationwide strike next month https://t.co/ExAGNF68mL"
40,"At least 46 people are dead and 700 injured after a 5.6-magnitude earthquake hit Indonesia, officials said https://t.co/zqtZowqB2R https://t.co/97RvByFurM"
41,"The suspect in Saturday's mass shooting at a LGBTQ nightclub in Colorado has been identified, and authorities say a long rifle was used in the rampage https://t.co/RxoHhgNhd9"
42,"Five people killed and at least 18 injured in mass shooting at a gay nightclub in Colorado, police said https://t.co/STiopDgNkQ"
